id,product,category,price,stock,sales,revenue,profit,margin,brand,sku,description,costPrice,competitorPrice,image,month
1,Unknown,General,0.0,0.0,0.0,0.0,0.0,30.0,Unknown,,,0.0,0.0,,Jan
2,Unknown,General,0.0,0.0,0.0,0.0,0.0,30.0,Unknown,,,0.0,0.0,,Jan
3,Unknown,General,0.0,0.0,0.0,0.0,0.0,30.0,Unknown,,,0.0,0.0,,Jan
4,Unknown,General,0.0,0.0,0.0,0.0,0.0,30.0,Unknown,,,0.0,0.0,,Jan
5,Unknown,General,0.0,0.0,0.0,0.0,0.0,30.0,Unknown,,,0.0,0.0,,Jan
6,Unknown,General,0.0,0.0,0.0,0.0,0.0,30.0,Unknown,,,0.0,0.0,,Jan
7,Unknown,General,0.0,0.0,0.0,0.0,0.0,30.0,Unknown,,,0.0,0.0,,Jan
8,Unknown,General,0.0,0.0,0.0,0.0,0.0,30.0,Unknown,,,0.0,0.0,,Jan
9,Unknown,General,0.0,0.0,0.0,0.0,0.0,30.0,Unknown,,,0.0,0.0,,Jan
10,Unknown,General,0.0,0.0,0.0,0.0,0.0,30.0,Unknown,,,0.0,0.0,,Jan
11,Unknown,General,0.0,0.0,0.0,0.0,0.0,30.0,Unknown,,,0.0,0.0,,Jan
12,Unknown,General,0.0,0.0,0.0,0.0,0.0,30.0,Unknown,,,0.0,0.0,,Jan
13,Unknown,General,0.0,0.0,0.0,0.0,0.0,30.0,Unknown,,,0.0,0.0,,Jan
14,Unknown,General,0.0,0.0,0.0,0.0,0.0,30.0,Unknown,,,0.0,0.0,,Jan
15,Unknown,General,0.0,0.0,0.0,0.0,0.0,30.0,Unknown,,,0.0,0.0,,Jan
16,Unknown,General,0.0,0.0,0.0,0.0,0.0,30.0,Unknown,,,0.0,0.0,,Jan
17,Unknown,General,0.0,0.0,0.0,0.0,0.0,30.0,Unknown,,,0.0,0.0,,Jan
18,Unknown,General,0.0,0.0,0.0,0.0,0.0,30.0,Unknown,,,0.0,0.0,,Jan
19,Unknown,General,0.0,0.0,0.0,0.0,0.0,30.0,Unknown,,,0.0,0.0,,Jan
20,Unknown,General,0.0,0.0,0.0,0.0,0.0,30.0,Unknown,,,0.0,0.0,,Jan
21,Unknown,General,0.0,0.0,0.0,0.0,0.0,30.0,Unknown,,,0.0,0.0,,Jan
22,Unknown,General,0.0,0.0,0.0,0.0,0.0,30.0,Unknown,,,0.0,0.0,,Jan
23,Unknown,General,0.0,0.0,0.0,0.0,0.0,30.0,Unknown,,,0.0,0.0,,Jan
