id,product,category,price,stock,sales,revenue,profit,margin,brand,sku,description,costPrice,competitorPrice,image,month
1.0,Sony Accessories 1,Accessories,183.69,22.0,65.0,11939.85,0.0,30.0,Sony,,,0.0,174.98,,Feb
2.0,JBL Accessories 2,Accessories,1458.82,264.0,230.0,335528.6,0.0,30.0,JBL,,,0.0,1400.22,,Sep
3.0,Sony Accessories 3,Accessories,781.63,264.0,211.0,164923.93,0.0,30.0,Sony,,,0.0,815.26,,Apr
4.0,Apple Wearable 4,Wearable,1409.73,199.0,422.0,594906.06,0.0,30.0,Apple,,,0.0,1473.04,,Feb
5.0,Apple Wearable 5,Wearable,1827.88,199.0,400.0,731152.0,0.0,30.0,Apple,,,0.0,1720.76,,Dec
6.0,Fitbit Wearable 6,Wearable,937.85,29.0,59.0,55333.15,0.0,30.0,Fitbit,,,0.0,1037.74,,Nov
7.0,Lenovo Laptop 7,Laptop,648.8,148.0,201.0,130408.8,0.0,30.0,Lenovo,,,0.0,662.44,,May
8.0,Dell Laptop 8,Laptop,1005.96,200.0,378.0,380252.88,0.0,30.0,Dell,,,0.0,1125.05,,Oct
9.0,Boat Accessories 9,Accessories,1763.71,21.0,411.0,724884.81,0.0,30.0,Boat,,,0.0,1993.18,,Feb
10.0,Samsung Wearable 10,Wearable,400.58,225.0,197.0,78914.26,0.0,30.0,Samsung,,,0.0,373.79,,May
11.0,Sony Accessories 11,Accessories,1398.58,121.0,110.0,153843.8,0.0,30.0,Sony,,,0.0,1400.72,,Aug
12.0,Samsung Tablet 12,Tablet,490.18,268.0,319.0,156367.42,0.0,30.0,Samsung,,,0.0,554.19,,Sep
13.0,Noise Wearable 13,Wearable,839.62,272.0,47.0,39462.14,0.0,30.0,Noise,,,0.0,901.24,,May
14.0,Dell Laptop 14,Laptop,1704.29,294.0,302.0,514695.58,0.0,30.0,Dell,,,0.0,1684.34,,May
15.0,Samsung Wearable 15,Wearable,1733.2,110.0,382.0,662082.4,0.0,30.0,Samsung,,,0.0,1864.59,,Oct
16.0,JBL Accessories 16,Accessories,1507.31,166.0,348.0,524543.88,0.0,30.0,JBL,,,0.0,1430.72,,Mar
17.0,Xiaomi Mobile 17,Mobile,1026.74,81.0,106.0,108834.44,0.0,30.0,Xiaomi,,,0.0,960.77,,Sep
18.0,Samsung Tablet 18,Tablet,1801.76,163.0,300.0,540528.0,0.0,30.0,Samsung,,,0.0,1769.8,,Apr
19.0,Xiaomi Mobile 19,Mobile,1288.88,35.0,17.0,21910.96,0.0,30.0,Xiaomi,,,0.0,1280.74,,May
20.0,Boat Accessories 20,Accessories,1441.76,118.0,460.0,663209.6,0.0,30.0,Boat,,,0.0,1364.08,,Oct
21.0,Lenovo Tablet 21,Tablet,1868.02,116.0,221.0,412832.42,0.0,30.0,Lenovo,,,0.0,1764.66,,Jun
22.0,Apple Tablet 22,Tablet,1987.0,154.0,289.0,574243.0,0.0,30.0,Apple,,,0.0,2120.6,,Feb
